所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段"
/统计分析模块(#147),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
/统计分析模块(#148),客户统计部分是否能正确统计注册用户数目,用户在前台进行注册,"1. 登录前台，用户名注册为test1，密码为111111
2. 登录前台，用户名注册为test2，密码为111111
3.登录前台，用户名注册为test3，密码为111111","1. 后台能够正常统计到用户人数增加
2. 后台能够正常统计到用户人数增加
3.后台能够正常统计到用户人数增加",,,,,,功能测试,功能测试阶段
/统计分析模块(#149),客户统计部分的“最近七天”按钮点击后能否正确显示数据,已有一定数量的注册客户以及下单量,点击“最近七天”,系统能够正确的显示最近七天的客户增长数量和下单量,,,,,,功能测试,功能测试阶段
/统计分析模块(#150),客户统计部分的“最近30天”按钮点击后能否正确显示数据,已有一定数量的注册客户和下单量,点击“最近30天”按钮,系统能够正确的显示最近30天的客户增长数量以及下单量,,,,,,功能测试,功能测试阶段
/统计分析模块(#151),客户统计部分的选择日期查看客户增长数量,有一定数量的注册的客户和下单量,"1. 选择日期范围小于或等于七天
2.点击“查看”按钮","1. 选中日期
2. 系统正确显示客户增长数量和下单量",,,,,,功能测试,功能测试阶段
/统计分析模块(#152),客户统计部分的选择日期查看客户增长数量,有一定数量的注册的客户和下单量,"1. 选择日期范围小于或等于三十天
2. 点击“查看”按钮","1.选中日期
2.系统正确显示客户增长数量和下单量",,,,,,功能测试,功能测试阶段
/统计分析模块(#153),客户统计部分的选择日期查看客户增长数量,有一定数量的注册的客户和下单量,"1.选择日期的范围大于三十天
2.点击“查看”按钮. ","1.选中日期
2.系统正确显示客户增长数量和下单量",,,,,,功能测试,功能测试阶段
/统计分析模块(#154),客户统计部分当鼠标移动到分析图上时，显示的客户数量是否与实际的客户数量相同,有一定数量的注册的客户和下单量,"1. 点击最近七天
2.将鼠标移动到统计图的任意位置上","1显示最近七天的图表
2.鼠标位置显示出来的客户数量与下单量与实际情况符合",,,,,,功能测试,功能测试阶段
/统计分析模块(#155),客户统计部分当鼠标移动到分析图上时，显示的客户数量是否与实际的客户数量相同,有一定数量的注册的客户和下单量,"1. 点击最近30天
2.将鼠标移动到统计图的任意位置上","1显示最近30天的图表
2.鼠标位置显示出来的客户数量与下单量与实际情况符合",,,,,,功能测试,功能测试阶段
/统计分析模块(#156),客户统计部分当鼠标移动到分析图上时，显示的客户数量是否与实际的客户数量相同,有一定数量的注册的客户和下单量,"1.选择日期范围
2.将鼠标移动到统计图的任意位置上","1选中日期.
2.鼠标位置显示出来的客户数量与下单量与实际情况符合",,,,,,功能测试,功能测试阶段
/统计分析模块(#157),客户统计部分中的客户统计图表中点击新增客户，是否会隐藏掉新增客户只显示下单量,有一定数量的注册的客户和下单量,"1.点击最近30天
2.点击新增客户","1.显示醉经30天的图表
2.统计图表只显示下单量",,,,,,功能测试,功能测试阶段
/统计分析模块(#158),客户统计部分中的客户统计图表中点击下单量，是否会隐藏掉下单量只显示新增客户,有一定数量的注册的客户和下单量,"1.点击最近30天
2.点击下单量","1.显示最近30天的图表
2.客户统计图表只显示新增客户",,,,,,功能测试,功能测试阶段
/统计分析模块(#159),客户排行部分的“最近七天”按钮能否正常使用,有一定数量的注册的客户和下单量,点击“最近七天”的按钮,客户排行显示根据客户的订单数量和购物金额的大小来进行排序，如果客户都没有进行购物则根据用户名的首字母或中文拼音来进行排序,,,,,,功能测试,功能测试阶段
/统计分析模块(#160),客户排行部分的“最近30天”按钮能否正常使用,有一定数量的注册的客户和下单量,点击“最近30天”的按钮,客户排行显示根据客户的订单数量和购物金额的大小来进行排序，如果客户都没有进行购物则根据用户名的首字母或中文拼音来进行排序,,,,,,功能测试,功能测试阶段
/统计分析模块(#161),客户排行部分的“选择客户组”的下拉框,有一定数量的注册的客户和下单量,"1. 点击“选择客户组”
2. 点击普通会员","1. 显示全部的客户的排行
2. 显示普通会员的客户排行",,,,,,功能测试,功能阶段测试
/统计分析模块(#162),客户排行部分的日期选择能否正确的显示数据,有一定数量的注册的客户和下单量,"1. 选择日期范围小于或等于七天
2.点击“查看”按钮","1.选中日期
2. 能够正确的显示客户排行以及订单数和购物金额",,,,,,功能测试,功能测试阶段
/统计分析模块(#163),客户排行部分的日期选择能否正确的显示数据,有一定数量的注册的客户和下单量,"1. 选择日期范围小于或等于三十天
2.点击“查看”按钮","1.选中日期
2. 能够正确的显示客户排行以及订单数和购物金额",,,,,,功能测试,功能测试阶段
/统计分析模块(#164),客户排行部分的日期选择能否正确的显示数据,有一定数量的注册的客户和下单量,"1.选择日期的范围大于三十天
2.点击“查看”按钮","1.选中日期
2. 能够正确的显示客户排行以及订单数和购物金额",,,,,,功能测试,功能测试阶段
/统计分析模块(#165),客户排行部分的页数跳转部分能否正常使用,有一定数量的注册的客户和下单量和点击最近30天,"1. 点击“→”
2. 点击“←”
3. 点击“首页”
4. 点击“末页”","1. 总页数为1时，不能向下一页跳转，页数不为1的时候可以向下一页跳转
2.总页数为1时，不能向上一页跳转，页数不为1的时候可以向上一页跳转
3. 总页数为1时，跳转首页不变仍为1，页数不为1的时候跳转到首页
4.总页数为1时，跳转末页不变仍为1，页数不为1的时候跳转到末页",,,,,,功能测试,功能测试阶段
/统计分析模块(#166),订单统计部分“最近七天”按钮，点击后能否正确显示数据,有一定数量的注册的客户和下单量,点击“最近30天”的按钮,订单统计图表，支付方式统计，配送方式统计，不同地区订单统计都能够显示正确的数据信息,,,,,,功能测试,功能测试阶段
/统计分析模块(#167),订单统计部分“最近30天”按钮，点击后能否正确显示数据,有一定数量的注册的客户和下单量，点击“最近30天”,点击“最近七天”的按钮,订单统计图表，支付方式统计，配送方式统计，不同地区订单统计都能够显示正确的数据信息,,,,,,功能测试,功能测试阶段
/统计分析模块(#168),订单统计部分的“选择客户组”的下拉框,有一定数量的注册的客户和下单量,"1.点击“最近30天”
2. 点击“选择客户组”
3. 点击“普通会员”","1.显示最近30天的一系列订单图表
2.订单统计图表，支付方式统计，配送方式统计，不同地区订单统计都能够显示全部用户正确的数据信息
3.订单统计图表，支付方式统计，配送方式统计，不同地区订单统计都能够显示普通会员正确的数据信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#163),订单统计部分的日期选择部分,有一定数量的注册客户和订单量,"1. 选择日期范围小于或等于七天
2.点击“查看”按钮","1.选中日期
2. 订单统计图表，支付方式统计，配送方式统计，不同地区订单统计都能够显示正确的数据信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#164),订单统计部分的日期选择部分,有一定数量的注册客户和订单量,"1.. 选择日期范围小于或等于三十天
2.点击“查看”按钮","1.选中日期
2. 订单统计图表，支付方式统计，配送方式统计，不同地区订单统计都能够显示正确的数据信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#165),订单统计部分的日期选择部分,有一定数量的注册客户和订单量,"1.选择日期的范围大于三十天
2.点击“查看”按钮","1.选中日期
2. 订单统计图表，支付方式统计，配送方式统计，不同地区订单统计都能够显示正确的数据信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#166),订单统计部分中的订单统计图表中点击订单数，是否会隐藏掉订单数只显示付款订单数,有一定数量的注册客户和订单量,点击订单数,只显示付款订单数,,,,,,功能测试,功能测试阶段
/统计分析模块(#167),订单统计部分中的订单统计图表中点击付款订单数，是否会隐藏掉付款订单数只显示订单数,有一定数量的注册客户和订单量,点击付款订单数,只显示订单数,,,,,,功能测试,功能测试阶段
/统计分析模块(#168),销售概括部分的“订单走势图”按钮和“最近七天”按钮,有一定数量的注册客户和订单量,"1.点击“订单走势图”按钮
2.点击“最近七天”按钮","1.显示最近七天的正确的统计数据
2.显示订单走势",,,,,,功能测试,功能测试阶段
/统计分析模块(#169),销售概括部分的“销售额走势图”按钮和“最近七天”按钮,有一定数量的注册客户和订单量,"1.“最近七天”按钮
2.点击“销售额走势图”按钮
","1.显示最近七天的正确的统计数据
2.显示销售额走势",,,,,,功能测试,功能测试阶段
/统计分析模块(#170),销售概括部分的“订单走势图”按钮和“最近30天”按钮,有一定数量的注册客户和订单量,"1.“最近30天”按钮
2.点击“订单走势图”按钮","1.显示最近30天的正确的统计数据
2.显示订单走势",,,,,,功能测试,功能测试阶段
/统计分析模块(#171),销售概括部分的“销售额走势图”按钮和“最近30天”按钮,有一定数量的注册客户和订单量,"1.“最近30天”按钮
2.点击“订单走势图”按钮","1.显示最近七30天的正确的统计数据
2.显示订单走势",,,,,,功能测试,功能测试阶段
/统计分析模块(#172),销售概括部分的“订单走势图”按钮和“选择客户组”下拉框能否正确显示信息,有一定数量的注册客户和订单量,"1.点击销售概括部分的“订单走势图”按钮
2.点击“选择客户组”","1.显示订单走势图表
2.显示全部客户的统计数据
",,,,,,功能测试,功能测试阶段
/统计分析模块(#173),销售概括部分的“订单走势图”按钮和“选择客户组”下拉框能否正确显示信息,有一定数量的注册客户和订单量,"1.点击销售概括部分的“订单走势图”按钮
2.点击“普通会员”","1.显示订单走势图表
2.显示普通会员的统计数据",,,,,,功能测试,功能测试阶段
/统计分析模块(#174),销售概括部分的“销售额走势图”按钮和“选择客户组”下拉框能否正确显示信息,有一定数量的注册客户和订单量,"1.点击销售概括部分的“销售额走势图”按钮
2.点击“选择客户组”","1.显示销售额走势图表
2.显示全部客户的统计数据",,,,,,功能测试,功能测试阶段
/统计分析模块(#175),销售概括部分的“销售额走势图”按钮和“选择客户组”下拉框能否正确显示信息,有一定数量的注册客户和订单量,"1.点击销售概括部分的“销售额走势图”按钮
2.点击“普通会员”","1.显示销售额走势图表
2.显示普通会员的统计数据",,,,,,功能测试,功能测试阶段
/统计分析模块(#176),销售概括部分的“订单走势图”按钮和日期选择能否正确显示信息,有一定数量的注册客户和订单量,"1. 选择日期范围小于或等于七天
2.点击“查看”按钮
","1.选中日期
2. 显示正确的统计信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#177),销售概括部分的“订单走势图”按钮和日期选择能否正确显示信息,有一定数量的注册客户和订单量,"1. 选择日期范围小于或等于三十天
2.点击“查看”按钮","1.选中日期
2. 显示正确的统计信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#178),销售概括部分的“订单走势图”按钮和日期选择能否正确显示信息,有一定数量的注册客户和订单量,"1.选择日期的范围大于三十天
2.点击“查看”按钮","1.选中日期
2. 显示正确的统计信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#179),销售概括部分的“销售额走势图”按钮和日期选择能否正确显示信息,有一定数量的注册客户和订单量,"1. 选择日期范围小于或等于七天
2.点击“查看”按钮","1.选中日期
2. 显示正确的统计信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#180),,,"1. 选择日期范围小于或等于三十天
2.点击“查看”按钮","1.选中日期
2. 显示正确的统计信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#181),,,"1.选择日期的范围大于三十天
2.点击“查看”按钮","1.选中日期
2. 显示正确的统计信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#182),"销售概括部分的“订单走势图”按钮和销售走势图标中点击“订单”，""未付款订单""，“已付款订单”中任一选项，能否隐藏掉该选项",有一定数量的注册客户和订单量，点击“最近30”天,"1. 点击“订单数”，“未付款订单”和“已付款订单”正常状态 
2.点击“未付款订单”，“订单数”和“已付款订单”正常状态
3.点击“已付款订单”，“订单数”和“未付款订单”正常状态","1. 隐藏“订单数”，其他正常显示
2.隐藏“未付款订单”，其他正常显示
3.隐藏“已付款订单”，其他正常显示",,,,,,功能测试,功能测试阶段
/统计分析模块(#183),"销售概括部分的“销售额走势图”按钮和销售走势图标中点击“订单”，""未付款订单""，“已付款订单”中任一选项，能否隐藏掉该选项",有一定数量的注册客户和订单量,"1.点击“最近30天”
2. 点击“订单数”，“未付款订单”和“已付款订单”正常状态 
3.点击“未付款订单”，“订单数”和“已付款订单”正常状态
4.点击“已付款订单”，“订单数”和“未付款订单”正常状态","1.显示最近30天的图表
2. 隐藏“订单数”，其他正常显示
3.隐藏“未付款订单”，其他正常显示
4.隐藏“已付款订单”，其他正常显示",,,,,,功能测试,功能测试阶段
/统计分析模块(#184),"销售概括部分的“订单走势图”按钮和销售走势图标中点击“订单”，""未付款订单""，“已付款订单”中任一选项，能否隐藏掉该选项",有一定数量的注册客户和订单量,"1.选择日期为2018.10.21――2018.11.27
2. 点击“订单数”，“未付款订单”和“已付款订单”正常状态 
3.点击“未付款订单”，“订单数”和“已付款订单”正常状态
4.点击“已付款订单”，“订单数”和“未付款订单”正常状态","1.选中日期
2. 隐藏“订单数”，其他正常显示
3.隐藏“未付款订单”，其他正常显示
4.隐藏“已付款订单”，其他正常显示",,,,,,功能测试,功能测试阶段
/统计分析模块(#185),"销售概括部分的“销售额走势图”按钮和销售走势图标中点击“订单”，""未付款订单""，“已付款订单”中任一选项，能否隐藏掉该选项",有一定数量的注册客户和订单量,"1.选择日期为2018.10.21――2018.11.271.
2. 点击“订单数”，“未付款订单”和“已付款订单”正常状态 
3.点击“未付款订单”，“订单数”和“已付款订单”正常状态
4.点击“已付款订单”，“订单数”和“未付款订单”正常状态","1.选中日期
2. 隐藏“订单数”，其他正常显示
3.隐藏“未付款订单”，其他正常显示
4.隐藏“已付款订单”，其他正常显示",,,,,,功能测试,功能测试阶段
/统计分析模块(#186),销售明细部分中的“最近七天”,一定数量的订单量,点击“最近七天”按钮,显示最近30天的销售的信息,,,,,,功能测试,功能测试阶段
/统计分析模块(#187),销售明细部分中的“最近30天”,一定数量的订单量,点击“最近30天”按钮,显示最近七天的销售的信息,,,,,,功能测试,功能测试阶段
/统计分析模块(#188),"销售明细部分中的""选择客户组""的下拉框",一定数量的订单量，点击最近30天,"1. 点击“选择客户组”
2. 点击""普通会员""","1. 能够显示全部客户的购买的商品订单信息
2. 能够显示普通会员的购买的商品订单信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#189),销售明细部分中的日期选择,一定数量的订单量,"1. 选择日期范围小于或等于七天
2.点击“查看”按钮
","1.选中日期
2.能够正确的显示销售明细",,,,,,功能测试,功能测试阶段
/统计分析模块(#190),销售明细部分中的日期选择,一定数量的订单量,"1. 选择日期范围小于或等于三十天
2.点击“查看”按钮","1.选中日期
2.能够正确的显示销售明细",,,,,,功能测试,功能测试阶段
/统计分析模块(#191),销售明细部分中的日期选择,一定数量的订单量,"1.选择日期的范围大于三十天
2.点击“查看”按钮","1.选中日期
2.能够正确的显示销售明细",,,,,,功能测试,功能测试阶段
/统计分析模块(#192),销售明细部分中底部的页面跳转,一定数量的订单量和点击最近30天,"1. 点击“→”
2. 点击“←”
3. 点击“首页”
4. 点击“末页”","1. 总页数为1时，不能向下一页跳转，页数不为1的时候可以向下一页跳转
2.总页数为1时，不能向上一页跳转，页数不为1的时候可以向上一页跳转
3. 总页数为1时，跳转首页不变仍为1，页数不为1的时候跳转到首页
4.总页数为1时，跳转末页不变仍为1，页数不为1的时候跳转到末页",,,,,,功能测试,功能测试阶段
/统计分析模块(#193),销售排行部分中的“最近七天”,一定数量的订单量,点击“最近七天”按钮,显示最近七天的销售的信息,,,,,,功能测试,功能测试阶段
/统计分析模块(#194),销售排行部分中的“最近30天”,一定数量的订单量,点击“最近30天”按钮,显示最近30天的销售的信息,,,,,,功能测试,功能测试阶段
/统计分析模块(#195),"销售排行部分中的""选择客户组""的下拉框",一定数量的订单量，点击最近30天,"1. 点击“选择客户组”
2. 点击""普通会员""","1. 能够显示全部客户的购买的商品订单信息
2. 能够显示普通会员的购买的商品订单信息",,,,,,功能测试,功能测试阶段
/统计分析模块(#196),销售排行部分中的日期选择,一定数量的订单量,"1. 选择日期范围小于或等于七天
2.点击“查看”按钮
","1.选中日期
2.能够正确的显示销售明细",,,,,,功能测试,功能测试阶段
/统计分析模块(#197),销售排行部分中的日期选择,一定数量的订单量,"1. 选择日期范围小于或等于三十天
2.点击“查看”按钮","1.选中日期
2.能够正确的显示销售明细",,,,,,功能测试,功能测试阶段
/统计分析模块(#198),销售排行部分中的日期选择,一定数量的订单量,"1.选择日期的范围大于三十天
2.点击“查看”按钮","1.选中日期
2.能够正确的显示销售明细",,,,,,功能测试,功能测试阶段
/统计分析模块(#199),销售排行部分中底部的页面跳转,一定数量的订单量,"1.点击最近30天
2. 点击“→”
3. 点击“←”
4. 点击“首页”
5. 点击“末页”","1.显示最近30天的信息
2. 总页数为1时，不能向下一页跳转，页数不为1的时候可以向下一页跳转
3.总页数为1时，不能向上一页跳转，页数不为1的时候可以向上一页跳转
4. 总页数为1时，跳转首页不变仍为1，页数不为1的时候跳转到首页
5.总页数为1时，跳转末页不变仍为1，页数不为1的时候跳转到末页",,,,,,功能测试,功能测试阶段
/统计分析模块(#200),分类销售分析部分的“最近七天”按钮能否正常使用,有一定数量的注册的客户和下单量和选择商品分类为零食,点击“最近七天”的按钮,订单分析图标，商品分类商品销售，客户组购买商品，显示正确的信息,,,,,,功能测试,功能测试阶段
/统计分析模块(#201),分类销售分析部分的“最近30天”按钮能否正常使用,有一定数量的注册的客户和下单量饿选择商品分类为零食,点击“最近30天”的按钮,订单分析图标，商品分类商品销售，客户组购买商品，显示正确的信息,,,,,,功能测试,功能测试阶段
/统计分析模块(#202),分类销售分析部分的“选择客户组”的下拉框,有一定数量的注册的客户和下单量,"1.点击“最近30天”
2.选择商品分类为零食
3. 点击“选择客户组”
4. 点击普通会员","1.显示最近30天的商品销售信息
2.显示分类为零食的商品销售信息
3. 显示全部的客户的购买商品的分析
4. 显示普通会员的购买商品的分析",,,,,,功能测试,功能测试阶段
/统计分析模块(#203),分类销售分析部分的日期选择能否正确的显示数据,有一定数量的注册的客户和下单量和选择商品分类为零食,"1. 选择日期范围小于或等于七天
2.点击“查看”按钮","1.选中日期
2.能够正确的显示商品销售信息分析
",,,,,,功能测试,功能测试阶段
/统计分析模块(#204),分类销售分析部分的日期选择能否正确的显示数据,有一定数量的注册的客户和下单量和选择商品分类为零食,"1. 选择日期范围小于或等于三十天
2.点击“查看”按钮","1.选中日期
2.能够正确的显示商品销售信息分析",,,,,,功能测试,功能测试阶段
/统计分析模块(#205),分类销售分析部分的日期选择能否正确的显示数据,有一定数量的注册的客户和下单量和选择商品分类为零食,"1.选择日期的范围大于三十天
2.点击“查看”按钮","1.选中日期
2.能够正确的显示商品销售信息分析",,,,,,功能测试,功能测试阶段
/统计分析模块(#206),分类销售分析部分的页数跳转部分能否正常使用,有一定数量的注册的客户和下单量,"1.点击最近30天
2. 点击“→”
3. 点击“←”
4. 点击“首页”
5. 点击“末页”","1.显示最近30天的信息
2. 总页数为1时，不能向下一页跳转，页数不为1的时候可以向下一页跳转
3.总页数为1时，不能向上一页跳转，页数不为1的时候可以向上一页跳转
4. 总页数为1时，跳转首页不变仍为1，页数不为1的时候跳转到首页
5.总页数为1时，跳转末页不变仍为1，页数不为1的时候跳转到末页",,,,,,功能测试,功能测试阶段
/统计分析模块(#207),测试客户统计部分的峰值，负载，承压能力,大量的客户注册,通过自动化测试来进行用户注册（100个用户）,系统能够正常运行统计,,,,,,,
/统计分析模块(#208),测试客户排行能否正确的统计大量客户的订单数和购买金额,多个客户购买多件商品,通过自动化测试代码来实现客户购买商品,系统能够正常运行统计,,,,,,功能测试,功能测试阶段
/统计分析模块(#209),测试订单统计能否正确的统计大量客户的订单数,多个客户购买多件商品,通过自动化测试代码来实现客户购买商品,系统能够正常运行统计,,,,,,功能测试,功能测试阶段
/统计分析模块(#210),测试销售概况能否正确的统计大量客户购买的商品的状况,多个客户购买多件商品,通过自动化测试代码来实现客户购买商品,系统能够正常运行统计,,,,,,功能测试,功能测试阶段
/统计分析模块(#211),测试销售明细能否正确的反应出各个商品的销售状况,多个客户购买多件商品,通过自动化测试代码来实现客户购买商品,系统能够正常运行统计,,,,,,功能测试,功能测试阶段
/统计分析模块(#212),测试销售排行能否正确的统计客户的商品购买的情况,多个客户购买多件商品,通过自动化测试代码来实现客户购买商品,系统能够正常运行统计,,,,,,功能测试,功能测试阶段
/统计分析模块(#213),测试分类销售分析能否正确的统计客户的订单数,多个客户购买多件商品并且选择商品分类为零食,通过自动化测试代码来实现客户购买商品,系统能够正常运行统计,,,,,,功能测试,功能测试阶段
