用例编号,所属模块,用例标题,前置条件,步骤,预期,用例类型
11140,运营管理模块(#153),检验添加优惠券的开始时间中开始时间的基本功能,"1.登录DBShop后台管理系统
2.点击运营管理
3.点击优惠
4.点击基本信息，输入名称：iphone
5.点击优惠规则，购物金额满100减10
6.点击开始时间输入2018年12月4日
7.点击结束时间输入2018年12月6日
8.勾选购物直接获取
9.勾选所有客户
10.勾选所有商品","1. 点击今天
2. 选择2018年12月4日
3. 选择2018年12月4日，点击确定
4. 点击清空按钮
5. 点击最上方按钮
6. 点击最上方《按钮
7. 点击最上方》按钮
8. 点击左下方的钟表按钮
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
",功能测试
11139,运营管理模块(#153),检验添加优惠券的获取规则中指定商品类型的基本功能,"1.登录DBShop后台管理系统
2.点击运营管理
3.点击优惠
4.点击基本信息，输入名称：iphone
5.点击优惠规则，购物金额满100减10
6.点击开始时间输入2018年12月4日
7.点击结束时间输入2018年12月6日
8.勾选购物直接获取
9.勾选所有客户","1. 勾选所有商品
2. 勾选商品品牌
","1. 显示商品的分类
2. 显示商品的品牌
",功能测试
11138,运营管理模块(#153),检验添加优惠券的获取规则中指定客户组的基本功能,"1.登录DBShop后台管理系统
2.点击运营管理
3.点击优惠
4.点击基本信息，输入名称：iphone
5.点击优惠规则，购物金额满100减10
6.点击开始时间输入2018年12月4日
7.点击结束时间输入2018年12月6日
8.勾选购物直接获取","1. 勾选所有客户
2. 勾选个性化客户组――普通会员
","1. 文本框显示所有客户
2. 文本框显示普通会员
",功能测试
11137,运营管理模块(#153),检验添加优惠券的获取规则中购物满的基本功能,"1.登录DBShop后台管理系统
2.点击运营管理
3.点击优惠
4.点击基本信息，输入名称：iphone
5.点击优惠规则，购物金额满100减10
6.点击开始时间输入2018年12月4日
7.点击结束时间输入2018年12月6日
8.勾选购物直接获取","1. 输入购物满10元减
2. 输入购物满0元减
3. 输入购物满！！！减
","1. 提示保存成功
2. 提示保存成功
3. 提示输入错误
",功能测试
11136,运营管理模块(#153),检验添加优惠券的获取规则中获取方式的勾选,"1.登录DBShop后台管理系统
2.点击运营管理
3.点击优惠
4.点击基本信息，输入名称：iphone
5.点击优惠规则，购物金额满100减10
6.点击开始时间输入2018年12月4日
7.点击结束时间输入2018年12月6日","1. 勾选购物直接获取
2. 勾选点击直接获取
3. 勾选注册直接获取
","1. 获取方式显示为购物直接获取
2. 获取方式显示为点击直接获取
3. 获取方式显示为注册直接获取
",功能测试
11135,运营管理模块(#153),检验添加优惠券的获取规则中结束时间的设定,"1.登录DBShop后台管理系统
2.点击运营管理
3.点击优惠
4.点击基本信息，输入名称：iphone
5.点击优惠规则，购物金额满100减10
6.点击开始时间输入2018年12月4日","1. 点击今天
2. 选择2018年12月6日
3. 选择2018年12月6日，点击确定
4. 点击清空按钮
5. 点击最上方按钮
6. 点击最上方《按钮
7. 点击最上方》按钮
8. 点击左下方的钟表按钮
9. 结束时间为2017年12月6日
","1. 文本框中显示当前时间
2. 文本框显示2018-12-04
3. 文本框显示2018-12-04
4. 清空文本框时间
5. 减小一个月
6. 变小一年
7. 变大一年
8. 跳转到快速设置界面
9. 提示报错，不能超过开始时间
",功能测试
11134,运营管理模块(#153),检验添加优惠券的获取规则中开始时间的设定,"1.登录DBShop后台管理系统
2.点击运营管理
3.点击优惠
4.点击基本信息，输入名称：iphone
5.点击优惠规则，购物金额满100减10
6.点击开始时间","1. 点击今天
2. 选择2018年12月4日
3. 选择2018年12月4日，点击确定
4. 点击清空按钮
5. 点击最上方按钮
6. 点击最上方《按钮
7. 点击最上方》按钮
8. 点击左下方的钟表按钮
","1. 文本框中显示当前时间
2. 文本框显示2018-12-04
3. 文本框显示2018-12-04
4. 清空文本框时间
5. 减小一个月
6. 变小一年
7. 变大一年
8. 跳转到快速设置界面
",功能测试
11133,运营管理模块(#153),检验添加优惠券的基本信息和优惠规则,"1.登录DBShop后台管理系统
2.点击运营管理
3.点击优惠","1. 点击基本信息，输入名称：iphone，购物金额满100减10，点击保存优惠券
2. 点击基本信息，输入名称：！！！，购物金额满100减10，点击保存优惠券
3. 点击基本信息，输入名称：iphone，购物金额满100减1000，点击保存优惠券
4. 直接点击保存优惠券
","1. 提示保存成功
2. 输入名称非法
3. 显示不符合要求
4. 必填项不可为空
",功能测试
11132,运营管理模块(#153),验证新加专题状态勾选是否可以勾选,"登录DBShop后台管理系统
点击运营管理
点击专题管理
专题设置
点击添加新专题
.输入专题名称：导航
.输入专题标记：百度一下
选择默认模板","1. 勾选启用，点击保存专题
2. 勾选禁用，点击保存专题
3. 不勾选，点击保存专题
","1. 跳转到专题项，显示启用
2. 跳转到专题项，显示禁用
3. 跳转到专题项，显示启用
",功能测试
11131,运营管理模块(#153),验证新加专题标记是否可以添加成功,"登录DBShop后台管理系统
点击运营管理
点击专题管理
专题设置
点击添加新专题
.输入专题名称：导航","1. 输入专题标记：百度一下，点击保存专题
2. 输入专题标记：！！！，点击保存专题
3. 输入专题标记：123，点击保存专题
4. 输入专题标记为空，点击保存专题
","1. 提示必填项不可为空
2. 提示必填项不可为空
3. 提示必填项不可为空
4. 提示必填项不可为空
",功能测试
11130,运营管理模块(#153),验证新加专题名称是否可以添加成功,"登录DBShop后台管理系统
点击运营管理
点击专题管理
专题设置
点击添加新专题","1. 输入专题名称：导航，点击保存专题
2. 输入专题名称：！！！，点击保存专题
3. 输入专题名称：123，点击保存专题
4. 输入专题名称为空，点击保存专题
","1. 提示必填项不可为空
2. 提示必填项不可为空
3. 提示必填项不可为空
4. 提示必填项不可为空
",功能测试
9514,运营管理模块(#153),检验添加优惠券的开始时间中指结束时间的基本功能,"1.登录DBShop后台管理系统
2.点击运营管理
3.点击优惠
4.点击基本信息，输入名称：iphone
5.点击优惠规则，购物金额满100减10
6.点击开始时间输入2018年12月4日
7.点击结束时间输入2018年12月6日
8.勾选购物直接获取
9.勾选所有客户
10.勾选所有商品
11.开始时间：选择2018年12月4日","1. 点击今天
2. 选择2018年12月6日
3. 选择2018年12月6日，点击确定
4. 点击清空按钮
5. 点击最上方按钮
6. 点击最上方《按钮
7. 点击最上方》按钮
8. 点击左下方的钟表按钮
9. 结束时间为2017年12月6日
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
",功能测试
9497,运营管理模块(#153),优惠规则中的优惠客户组,登录DBShop后台管理系统――输入账号admin――输入密码111111――点击运营管理――点击优惠促销规则――新建规则,"1. 填写个人信息――满减100――优惠100元――优惠客户组――选择所有客户――点击促销规则
2. 填写个人信息――满减100――优惠100元――优惠个性化客户组――选择所有客户――点击促销规则
","1. 促销规则中会出现
2. 促销规则中会出现
",功能测试
9469,运营管理模块(#153),检验促销规则的是否可以设定,登录DBShop后台管理系统――输入账号admin――输入密码111111――点击运营管理――点击优惠促销规则――新建规则,"1. 促销规则――完善个人信息――购物金额满100――点击促销规则
2. 促销规则――完善个人信息――优惠立减100元――点击促销规则
3. 促销规则――完善个人信息――优惠立减10%――点击促销规则
4. 促销规则――完善个人信息――购物金额满100――优惠立减100元――点击促销规则
","1. 无法保存
2. 无法保存
3. 无法保存
4. 在优惠促销规则出现
",功能测试
9440,运营管理模块(#153),检测优惠促销规则说明是否可用,登录DBShop后台管理系统――输入账号admin――输入密码111111――点击运营管理――点击优惠促销规则――新建规则,"1. 基本信息――填写名称――点击促销规则
2. 基本信息――填写名称为空――点击促销规则
3. 基本信息――填写名称――规则描述10000字――点击促销规则
4. 基本信息――填写名称――规则描述为标点符号――点击促销规则
5. 基本信息――填写名称――选择开始时间――点击促销规则
6. 基本信息――填写名称――选择结束时间――点击促销规则
7. 基本信息――填写名称――选择状态开启――点击促销规则
8. 基本信息――填写名称――选择状态关闭――点击促销规则
","1. 在优惠促销规则出现
2. 无法保存
3. 在优惠促销规则出现
4. 在优惠促销规则出现
5. 在优惠促销规则出现
6. 在优惠促销规则出现
7. 在优惠促销规则出现显示开启
8. 在优惠促销规则出现显示关闭
",功能测试
